Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl
5547,Alameda ,94621,-122.2213677,37.7200105,0,23.59,86.02,0,52.63,99.24,92.55
3152,Alameda ,94603,-122.1834997,37.7323261,0,24.55,76.92,0,99.74,98.91,76.65
3552,Alameda ,94621,-122.1969422,37.7588039,0,23.6,77.32,0,83.12,99.64,85.92
2788,Alameda ,94603,-122.1777872,37.7290846,0,21.06,96.63,0,72.18,99.78,86.42
4839,Alameda ,94601,-122.2109235,37.7621786,0,25.18,91.11,0,87.78,82.18,61.57
1151,Alameda ,94621,-122.1837659,37.7504463,0,20.67,98.32,0,70.28,99.79,83.15
2598,Alameda ,94606,-122.246184,37.7875675,0,23.16,84.3,0,74.79,96.83,81.59
3450,Alameda ,94607,-122.2963076,37.8063512,0,21.79,95.97,0,86.1,89.34,82.03
6897,Alameda ,94603,-122.1803623,37.744613,0,25.89,90.49,0,96.79,91.31,49.25
4306,Alameda ,94621,-122.1887803,37.7541816,0,24.18,80.53,0,51.43,99.68,87.78
1784,Alameda ,94607,-122.298236,37.809532,0,20.48,98.27,0,65.92,99.93,89.98
2193,Alameda ,94601,-122.2275943,37.7741552,0,20.25,98.24,0,59.96,99.93,94.11
4314,Alameda ,94608,-122.2733758,37.8207387,0,20.71,96.91,0,83.53,99.09,87.49
6448,Alameda ,94607,-122.270732,37.8004265,0,28.07,54.7,28,72.12,94.06,13.06
4381,Alameda ,94607,-122.3193044,37.8134257,0,22.62,92.07,0,84.08,94.09,47.93
5814,Alameda ,94577,-122.1898921,37.7097451,0,24.65,70.91,0,83.5,82.84,53.89
5229,Alameda ,94578,-122.1470769,37.70175,0,24.52,74.13,0,50.85,99.65,78.01
3345,Alameda ,94603,-122.1733521,37.737851,0,20.95,96.63,0,48.1,99.63,86.17
3122,Alameda ,94608,-122.2806358,37.8229232,0,24.01,84.02,0,28.54,99.24,91.89
3931,Alameda ,94607,-122.2663244,37.7944308,0,23.4,82.92,0,43.81,98.65,86.24
2351,Alameda ,94607,-122.2847803,37.8057305,0,20.52,98.32,0,23.48,99.93,91.53
6724,Alameda ,94607,-122.288956,37.8100197,0,27.57,88.66,31.09,86.93,96.74,71.06
3414,Alameda ,94577,-122.1661575,37.7167153,0,23.83,87.44,0,50.65,99.24,92.64
2255,Alameda ,94544,-122.0573943,37.6155886,0,24.32,86.73,0,95.06,99.74,56.71
1569,Alameda ,94607,-122.2824569,37.812031,0,20.72,97.9,0,58.74,99.69,88.72
2667,Alameda ,94587,-122.126873,37.6059048,0,19.42,97.96,0,98.89,99.66,78.79
3528,Alameda ,94560,-122.0162378,37.5270492,0,20.97,96.63,0,80.83,99.3,80.86
6746,Alameda ,94608,-122.2719625,37.831217,0,22.8,82.75,0,47.7,94.35,89.37
3827,Alameda ,94601,-122.2192819,37.7777848,0,27.34,88.6,20.36,92.94,96.81,84.3
2145,Alameda ,94607,-122.2814825,37.8173716,0,22.46,77.11,0,85.34,90.38,81.79
6755,Alameda ,94608,-122.2833798,37.8326526,0,27.87,92.48,27.5,69.13,95.12,34.22
3530,Alameda ,94601,-122.2067479,37.7710407,0,25.96,90.31,0,55.22,91.76,69.79
2163,Alameda ,94612,-122.2769914,37.8103872,0,20.47,98.1,0,54.21,99.8,80.18
3954,Alameda ,94710,-122.3013426,37.8590327,0,23.2,82.92,0,46.15,94.35,83.39
3832,Alameda ,94606,-122.2494562,37.7965384,0,25.91,85.9,0,86.33,90.36,37.66
4649,Alameda ,94587,-122.0427542,37.6011866,0,22.38,94.78,0,42.73,93.96,82.11
3910,Alameda ,94601,-122.230736,37.7850448,0,22.24,95.94,0,34.49,89.41,81.62
